epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,7.61884,1.62957,4.5849,1.17466,0,0,0,0,2.50526,0.17444,3.21859,0.0775,0.0025,0.0025
2,12.0075,1.53923,0.52747,1.10558,0,0,0,0,2.39976,0.24327,2.83981,0.0540988,0.00509875,0.00509875
3,16.5032,1.53991,0.51577,1.08684,0,0,0,0,2.17863,0.22573,2.72774,0.0306925,0.00769248,0.00769248
4,20.6342,1.44562,0.58214,1.00673,0.00012,0.04865,0.00019,3e-05,1.34634,0.82926,1.54203,0.00997803,0.00997803,0.00997803
5,24.7824,1.39081,0.63128,0.93925,5e-05,0.02051,5e-05,1e-05,1.41673,0.72518,1.41909,0.00996097,0.00996097,0.00996097
6,29.1072,1.39065,0.61313,0.9686,2e-05,0.00132,1e-05,0,1.49027,0.73006,1.58976,0.00993906,0.00993906,0.00993906
7,33.4207,1.40087,0.62114,1.00499,5e-05,0.02162,0.0001,1e-05,1.64235,0.45461,1.57656,0.00991232,0.00991232,0.00991232
8,37.6127,1.40181,0.60706,1.00165,1e-05,0.00395,1e-05,0,1.53654,0.99564,1.48764,0.00988079,0.00988079,0.00988079
9,41.7382,1.42085,0.58269,0.93586,1e-05,0.00395,1e-05,0,1.2694,0.87067,1.22129,0.00984449,0.00984449,0.00984449
10,45.988,1.46544,0.54529,1.02826,0.00011,0.04487,0.00012,3e-05,1.41772,0.70072,1.39218,0.00980345,0.00980345,0.00980345
11,50.2644,1.44811,0.58111,1.03894,4e-05,0.01622,3e-05,1e-05,1.39771,0.98273,1.34653,0.00975773,0.00975773,0.00975773
12,54.5195,1.46868,0.58342,0.95789,2e-05,0.00405,1e-05,0,1.43086,0.7,1.43958,0.00970736,0.00970736,0.00970736
13,58.5464,1.51374,0.52755,1.03882,4e-05,0.00667,3e-05,1e-05,1.39075,0.64707,1.31831,0.00965239,0.00965239,0.00965239
14,62.7538,1.47089,0.5062,1.03148,1e-05,0.00526,1e-05,0,1.43506,0.67401,1.28415,0.00959289,0.00959289,0.00959289
15,66.8569,1.46475,0.52206,0.99091,0.00012,0.00135,6e-05,1e-05,1.38497,0.77103,1.44955,0.00952889,0.00952889,0.00952889
16,71.2343,1.55815,0.48193,1.03699,2e-05,0.0027,1e-05,1e-05,1.58697,0.55925,1.67614,0.00946048,0.00946048,0.00946048
17,75.2894,1.48099,0.49024,1.01701,0.00043,0.06328,0.00062,0.00012,1.43348,0.62041,1.31356,0.00938772,0.00938772,0.00938772
18,79.6786,1.55808,0.42433,1.12466,9e-05,0.00541,0.00015,3e-05,1.40545,0.5945,1.33666,0.00931067,0.00931067,0.00931067
19,83.9663,1.46952,0.49015,0.96147,0.00024,0.04298,0.00115,0.0002,1.41804,0.74332,1.47777,0.00922942,0.00922942,0.00922942
20,88.2311,1.47427,0.49538,0.99544,0.05024,0.02225,0.00099,0.00019,1.6524,0.57167,1.78297,0.00914405,0.00914405,0.00914405
21,92.4594,1.46534,0.52143,1.11713,0,0.00135,0,0,1.71048,0.36045,1.81574,0.00905463,0.00905463,0.00905463
22,96.6986,1.43659,0.55505,0.98495,0,0.00135,0,0,1.362,0.77564,1.37584,0.00896127,0.00896127,0.00896127
23,100.712,1.39823,0.59888,0.90865,0.00069,0.03617,0.00068,0.00015,1.33455,0.72231,1.30204,0.00886404,0.00886404,0.00886404
24,104.715,1.3874,0.58715,0.86185,0.00056,0.05368,0.00097,0.00021,1.24183,0.8099,1.11621,0.00876305,0.00876305,0.00876305
25,108.887,1.36912,0.58431,0.83811,0.05257,0.04396,0.00426,0.00106,1.23461,0.77963,1.07198,0.00865839,0.00865839,0.00865839
26,113.235,1.34922,0.5951,0.86023,0.0002,0.03891,0.00023,7e-05,1.28847,0.74344,1.11526,0.00855018,0.00855018,0.00855018
27,117.398,1.31936,0.60128,0.80125,0.00107,0.10829,0.00212,0.00071,1.1781,0.88032,0.98731,0.00843851,0.00843851,0.00843851
28,121.645,1.33196,0.58258,0.81529,0.00173,0.11648,0.00247,0.00067,1.20659,0.84065,0.98447,0.00832349,0.00832349,0.00832349
29,125.782,1.28483,0.60305,0.79286,0.00255,0.05859,0.00171,0.00038,1.25761,0.82756,1.14416,0.00820525,0.00820525,0.00820525
30,130.048,1.29876,0.59005,0.7458,0.00247,0.13362,0.00346,0.00067,1.28958,0.70038,1.09988,0.00808389,0.00808389,0.00808389
31,134.41,1.32611,0.5737,0.77013,0.00276,0.1218,0.00529,0.0016,1.22917,0.81123,1.07662,0.00795954,0.00795954,0.00795954
32,138.456,1.29641,0.57674,0.77196,0.15569,0.11473,0.0178,0.00505,1.18531,0.73715,1.03566,0.00783231,0.00783231,0.00783231
33,142.622,1.25356,0.6292,0.75764,0.00804,0.09603,0.00952,0.00178,1.16699,0.83189,1.04104,0.00770234,0.00770234,0.00770234
34,146.888,1.27785,0.59127,0.75233,0.00708,0.0783,0.01584,0.00342,1.09614,0.87226,0.91632,0.00756976,0.00756976,0.00756976
35,151.031,1.30638,0.59107,0.78145,0.30619,0.08256,0.0327,0.00639,1.12466,0.84396,0.94281,0.00743468,0.00743468,0.00743468
36,155.241,1.25886,0.60409,0.74092,0.41501,0.05937,0.0181,0.00421,1.11854,0.8355,0.88434,0.00729725,0.00729725,0.00729725
37,159.445,1.22799,0.61376,0.70494,0.3077,0.04157,0.00855,0.00175,1.18955,0.78791,0.9432,0.00715761,0.00715761,0.00715761
38,163.489,1.25446,0.59757,0.74366,0.05563,0.13978,0.00965,0.00197,1.11974,0.89047,0.9059,0.00701588,0.00701588,0.00701588
39,167.796,1.24078,0.63723,0.73876,0.16155,0.07667,0.02307,0.00476,1.08744,0.85582,0.87152,0.00687222,0.00687222,0.00687222
40,172.002,1.24361,0.61644,0.70101,0.37899,0.07782,0.04805,0.01188,1.08437,0.90443,0.9,0.00672675,0.00672675,0.00672675
41,176.226,1.25896,0.60529,0.75231,0.27932,0.05464,0.04588,0.01095,1.11587,0.84775,0.95332,0.00657963,0.00657963,0.00657963
42,180.571,1.26408,0.60754,0.72967,0.43545,0.09397,0.05149,0.01303,1.06052,0.89756,0.87643,0.00643101,0.00643101,0.00643101
43,184.632,1.25042,0.60217,0.72663,0.12623,0.07571,0.03392,0.00888,1.11279,0.8063,0.87885,0.00628101,0.00628101,0.00628101
44,188.655,1.23544,0.62863,0.74643,0.43268,0.05327,0.02862,0.00615,1.18528,0.77156,0.9614,0.00612981,0.00612981,0.00612981
45,192.724,1.24543,0.62368,0.75229,0.01504,0.21638,0.04351,0.00991,1.16001,0.86208,0.95645,0.00597754,0.00597754,0.00597754
46,196.963,1.2801,0.61439,0.80172,0.01105,0.137,0.02709,0.007,1.23993,0.82434,1.0186,0.00582435,0.00582435,0.00582435
47,201.156,1.22367,0.64204,0.74258,0.37665,0.08265,0.03536,0.01084,1.14211,0.86463,0.93036,0.0056704,0.0056704,0.0056704
48,205.265,1.18179,0.64479,0.69625,0.21474,0.07127,0.03592,0.00881,1.1752,0.87549,0.92728,0.00551584,0.00551584,0.00551584
49,209.534,1.20227,0.65819,0.6841,0.27563,0.07054,0.03963,0.01053,1.16706,0.86136,0.95554,0.00536081,0.00536081,0.00536081
50,213.812,1.18396,0.64975,0.68761,0.26655,0.09784,0.0643,0.02004,1.17047,0.85577,0.96751,0.00520548,0.00520548,0.00520548
51,218.167,1.15532,0.67395,0.67627,0.44332,0.08573,0.0602,0.01404,1.12202,0.86083,0.96419,0.00505,0.00505,0.00505
52,222.342,1.17159,0.66583,0.66166,0.0716,0.20084,0.03659,0.01009,1.0833,0.90567,0.89257,0.00489452,0.00489452,0.00489452
53,226.48,1.23265,0.6157,0.72303,0.43676,0.08705,0.04151,0.00979,1.05116,0.86766,0.95122,0.00473919,0.00473919,0.00473919
54,230.563,1.18972,0.62904,0.69507,0.44836,0.08081,0.07431,0.01822,1.10241,0.87599,0.92848,0.00458416,0.00458416,0.00458416
55,234.673,1.16647,0.66108,0.72087,0.39129,0.09399,0.07494,0.02559,1.06704,0.90877,0.8743,0.0044296,0.0044296,0.0044296
56,239.004,1.196,0.63838,0.72374,0.38761,0.11313,0.07881,0.02447,1.06821,0.93963,0.87566,0.00427565,0.00427565,0.00427565
57,243.144,1.22627,0.63071,0.72062,0.49213,0.09124,0.05617,0.0129,1.16087,0.86983,0.97151,0.00412246,0.00412246,0.00412246
58,247.415,1.19365,0.63022,0.64836,0.36459,0.08168,0.05547,0.01772,1.1219,0.93306,0.94945,0.00397019,0.00397019,0.00397019
59,251.592,1.13178,0.66579,0.66097,0.17838,0.12444,0.06802,0.02307,1.0839,0.91496,0.95298,0.00381899,0.00381899,0.00381899
60,255.699,1.13048,0.66281,0.67787,0.02319,0.22979,0.05517,0.01306,1.05591,0.98908,0.85677,0.00366899,0.00366899,0.00366899
61,259.861,1.15281,0.67007,0.64883,0.4291,0.13396,0.06578,0.02065,1.06316,0.91777,0.88503,0.00352037,0.00352037,0.00352037
62,263.949,1.19392,0.62523,0.66662,0.01699,0.2524,0.05583,0.01805,1.05548,0.90773,0.87905,0.00337325,0.00337325,0.00337325
63,268.219,1.08042,0.68883,0.59873,0.5905,0.06815,0.10278,0.03221,1.06982,0.93836,0.85179,0.00322778,0.00322778,0.00322778
64,272.576,1.11808,0.68214,0.63757,0.33503,0.1092,0.08167,0.02242,1.06208,0.93364,0.8711,0.00308412,0.00308412,0.00308412
65,276.789,1.12197,0.67252,0.63563,0.03984,0.16616,0.067,0.01571,1.02972,0.96907,0.86074,0.00294239,0.00294239,0.00294239
66,280.982,1.09413,0.67923,0.60429,0.34465,0.1132,0.06786,0.02417,1.06946,0.86458,0.85577,0.00280275,0.00280275,0.00280275
67,285.173,1.10418,0.67907,0.65042,0.09736,0.17205,0.07379,0.02427,1.03388,0.873,0.8578,0.00266532,0.00266532,0.00266532
68,289.457,1.08702,0.68461,0.63284,0.30118,0.18871,0.08623,0.02539,0.99475,0.88965,0.86467,0.00253024,0.00253024,0.00253024
69,293.773,1.13927,0.66359,0.64579,0.34739,0.16837,0.11483,0.03278,0.93346,0.93481,0.77358,0.00239766,0.00239766,0.00239766
70,298.02,1.09246,0.69626,0.61129,0.41432,0.18561,0.10938,0.03834,0.96659,0.98957,0.8063,0.00226769,0.00226769,0.00226769
71,302.394,1.10691,0.66615,0.61016,0.43908,0.13879,0.11984,0.03628,1.00401,0.9716,0.82827,0.00214046,0.00214046,0.00214046
72,306.535,1.08218,0.67405,0.58659,0.43407,0.12568,0.12003,0.03845,0.9894,1.0399,0.82427,0.00201611,0.00201611,0.00201611
73,310.624,1.06521,0.67352,0.5768,0.46608,0.17386,0.10728,0.03647,0.98276,0.97745,0.8039,0.00189475,0.00189475,0.00189475
74,314.717,1.03452,0.72142,0.58228,0.50592,0.16337,0.13163,0.03984,1.00694,0.94769,0.83502,0.00177651,0.00177651,0.00177651
75,318.949,1.07781,0.68811,0.58911,0.45104,0.16521,0.13741,0.04145,0.99696,0.99705,0.84381,0.00166149,0.00166149,0.00166149
76,322.978,1.07037,0.65793,0.57399,0.44524,0.14472,0.13499,0.04415,0.99547,1.02652,0.82156,0.00154982,0.00154982,0.00154982
77,327.196,1.08011,0.65759,0.56811,0.51342,0.16339,0.1362,0.04127,1.00192,0.95127,0.82342,0.00144161,0.00144161,0.00144161
78,331.369,1.06216,0.68541,0.59468,0.44693,0.1576,0.11192,0.03708,1.01381,0.93677,0.84186,0.00133695,0.00133695,0.00133695
79,335.715,1.03441,0.68883,0.54667,0.39113,0.17606,0.11711,0.03808,0.99869,1.01752,0.82141,0.00123596,0.00123596,0.00123596
80,339.928,1.03612,0.6915,0.55316,0.45038,0.15624,0.13306,0.04038,0.98801,0.99098,0.81438,0.00113873,0.00113873,0.00113873
81,344.101,1.0481,0.67393,0.56973,0.38058,0.16558,0.11488,0.03174,1.00685,0.98711,0.81587,0.00104537,0.00104537,0.00104537
82,348.367,1.06977,0.66639,0.58789,0.55709,0.10443,0.12776,0.04233,1.00804,0.90803,0.80437,0.000955951,0.000955951,0.000955951
83,352.652,1.02908,0.69914,0.54512,0.21861,0.19067,0.13929,0.04776,1.01079,0.9743,0.82804,0.000870577,0.000870577,0.000870577
84,357.069,1.04454,0.66015,0.55179,0.38047,0.16779,0.16708,0.054,1.01277,0.92994,0.83774,0.000789327,0.000789327,0.000789327
85,361.362,1.06274,0.6505,0.56079,0.45741,0.15975,0.15406,0.05124,1.00175,0.99224,0.82681,0.000712282,0.000712282,0.000712282
86,365.673,1.02554,0.69803,0.56776,0.51189,0.15171,0.14307,0.05028,1.01699,0.9198,0.81755,0.000639518,0.000639518,0.000639518
87,369.817,1.04262,0.65704,0.57146,0.33888,0.17479,0.14505,0.04958,1.01414,0.96421,0.8316,0.000571106,0.000571106,0.000571106
88,373.986,1.02931,0.66197,0.54007,0.30898,0.18854,0.15288,0.0517,1.00513,0.99277,0.82578,0.000507115,0.000507115,0.000507115
89,378.051,1.00965,0.66251,0.5314,0.39237,0.19983,0.16018,0.05589,0.99678,0.95784,0.82418,0.000447606,0.000447606,0.000447606
90,382.267,1.02015,0.67763,0.54329,0.2618,0.19227,0.15206,0.05252,1.005,0.95783,0.82654,0.00039264,0.00039264,0.00039264
91,387.321,1.07184,0.71132,0.73855,0.37554,0.27167,0.23295,0.08509,0.91003,0.80855,0.69612,0.00034227,0.00034227,0.00034227
92,391.458,1.03117,0.71325,0.70931,0.40335,0.26137,0.23188,0.07969,0.91918,0.83733,0.7254,0.000296546,0.000296546,0.000296546
93,395.507,0.99458,0.72911,0.66557,0.36694,0.27234,0.24571,0.08631,0.8905,0.86919,0.71108,0.000255513,0.000255513,0.000255513
94,399.682,0.92581,0.77692,0.63634,0.3582,0.30074,0.2448,0.08305,0.87961,0.88792,0.70578,0.000219212,0.000219212,0.000219212
95,403.863,0.94391,0.75702,0.6434,0.35801,0.30916,0.22091,0.08464,0.85867,0.91246,0.69045,0.000187678,0.000187678,0.000187678
96,408.088,0.90462,0.79118,0.60513,0.30351,0.32455,0.23213,0.09345,0.86732,0.8947,0.68797,0.000160943,0.000160943,0.000160943
97,412.847,0.85839,0.83277,0.59788,0.21318,0.31127,0.24353,0.10175,0.86719,0.87526,0.67965,0.000139032,0.000139032,0.000139032
98,417.033,0.93547,0.75227,0.6276,0.20457,0.34645,0.26686,0.11217,0.85186,0.87288,0.69311,0.000121968,0.000121968,0.000121968
99,421.118,0.86152,0.8028,0.58504,0.13206,0.32561,0.22007,0.08664,0.87576,0.86978,0.71047,0.000109768,0.000109768,0.000109768
100,425.474,0.92534,0.76386,0.63103,0.20587,0.36914,0.26417,0.10702,0.86056,0.87089,0.69702,0.000102443,0.000102443,0.000102443
